seller_item_name,price,Predicted,Confidence
دانتريلاكس اقراص عادى,147.0,1067,1.00
تادلونج 20مجم 4ق,84.0,Unknown,0.36
ريفاروسبير 10مجم اقراص,254.0,60,1.00
فورتيموكس قطرة,44.0,1243,1.00
برونتوجيست حقن 240 ج,240.0,543,1.00
اكساميد 5 مجم 30 قرص**,48.0,1448,1.00
كونفنتين300ق3شريط,114.0,36,1.00
كرستوليب 10م اقراص ,108.0,1055,1.00
ديكساتوبرين قطره,26.0,869,1.00
نانازوكسيد 500 مجم 18 قرص,114.0,456,1.00
ال كارنيتين شراب,70.0,1191,1.00
انافرونيل 25مج 30ق س ج/نوفارتس,45.0,1348,1.00
انتى كوكس15 مجم3شريط,73.5,1367,1.00
كالوماك محلول,18.0,2132,1.00
اكساميد 5مج س ج -ابيكس ,48.0,1448,1.00
فلدين 20 مجم عضل 3 امبول,31.5,1649,1.00
اميبيرايد 50مجم ق س/ج 111,81.0,533,1.00
زيرتك شراب سعر جديد27,32.5,557,1.00
تومكس بلس 50 قرص ,60.0,4331,1.00
ماء غريب بامبينو شراب ,75.0,2279,1.00
اريك 100 مجم 3 شريط كبير س قديم,100.5,26,1.00
تافاسين 750مجم  اقراص /الحكمه,96.0,422,1.00
نوفيستوريك 20مجم 14 قرص ,53.0,2013,1.00
سنجيولير  10مجم اقراص,192.0,523,1.00
كاندلكان 32\12.5 بلاس ق جديد,102.0,1611,1.00
بينوكس نقط,23.0,2082,1.00
كلوزابكس*25مم-اقراص,50.0,1816,1.00
برافوتين 30كيس,290.0,95,1.00
جابيماش 300 مج اقراص,85.5,334,1.00
ديكلاك 150مجم 20قرص**,132.0,1324,1.00
اميولانت كبسول عاده س ج ,30.0,3021,1.00
فيرسيرك 16 3شريط,87.0,1383,1.00
زنكوديرم لوسيون120مل,55.0,3701,1.00
ريسباتيو20 قرص,94.0,2520,1.00
لازلكتون100مجم3شريطططط,100.5,1626,1.00
ديكسافلوكس قطره,37.0,1255,1.00
ميتاكارديا ام ار 30قرص س 31.5,60.0,1574,1.00
سينوبريل كو 3شريط/جلوبال,105.0,1420,1.00
دولسيل 6 مجم 3 شريط,66.0,2450,1.00
انتوكـــــــس     اقـــــــراص س.ج,60.0,2599,1.00
هيلسك 40مجم اقراص,73.0,1575,1.00
نانازوكسيد شراب س ج,39.0,918,1.00
كوبال اف 30قرص,54.0,436,1.00
سيتال شراب جديد,31.0,249,1.00
دولسيل* 3 مجم/3 شريططط,40.5,2793,1.00
اتوريزا 10/10مج 28 ق/ماركيرل,166.0,377,1.00
ايزوجاست 20 مجم 14 ك,122.0,4762,1.00
انتوكس اقراص,60.0,2599,1.00
ايميرست امبول,112.5,460,1.00
هاى فرش قطرة,75.0,277,1.00
اوميز 20سعر30.5,56.0,84,1.00
ROMANTIGRA 20 MG 4 TAB,37.5,1534,1.00
اليكيوس 5مجم 20قرص,406.0,146,1.00
زيرتك شراب س ج,32.5,557,1.00
اتورستات 20 مجم 14 قرص س ج,64.0,2350,1.00
كاندلكان 4مجم اقراص,40.0,3516,1.00
لوفير 400اقراص س ج,76.0,1305,1.00
نيورونتين 300 اقراص س ج,80.0,421,1.00
كلوبيكس اقراص س ج,150.0,343,1.00
جينوكونازول 0.8% كريم,31.0,1778,1.00
ميوفين 30 قرص ( ب 48 ) * س.ج,54.0,428,1.00
زنكوديرم لوسيون,55.0,3701,1.00
جويبوكس 60مجم علبه كبيرة   ,106.0,353,1.00
سيريتايد 250 ديسكس ,257.0,478,1.00
باى بروفينيد 150مجم20 قرص  س.ج F,37.0,230,1.00
لوبريفيسك قطره,32.0,1757,1.00
برونكوبرو  نقط سعر جديد,19.5,3181,1.00
فوليك اسيد ميباكو س جديد,20.0,1601,1.00
تومكس بلس 50ق --- اتوس**,60.0,4331,1.00
سيكودال 2 مجم اقراص,126.0,3711,1.00
حمض فوليك  ميباكو,20.0,1601,1.00
دلتافيت ب12 الدلتا    س ج,75.0,294,1.00
ماريفان 3مجم 100ق *,36.0,2375,1.00
ماكسيلاز شراب /جديد ,57.0,137,1.00
كولوماك محلول ,18.0,2132,1.00
كلوبكس30كبسوله,150.0,343,1.00
دلتافيت ب12 اقراص ,75.0,294,1.00
نوستامين قطرة,15.0,1303,1.00
بيوتين فورت 60 كبسول,78.0,2128,1.00
اتور 20مج 10قرص,59.0,319,1.00
بليتال50مجم اقراص,92.0,1254,1.00
بيرفكت كير محلول عدسات,100.0,2635,1.00
بيتاديرم مرهم سعر جديد,11.5,2247,1.00
نازوكورت اسبراى س جديد,151.0,414,1.00
رجكور 10مجم 10قرص,16.0,3475,1.00
مونوماك 40مجم اقراص,19.25,2876,1.00
اوكتاترون 3شريط / س - ج,114.0,232,1.00
رومانتيجرا 20 مجم 4قرص,37.5,1534,1.00
ابيمول اقراص عادددى ,13.0,1771,1.00
روسيتور 10 مجم س.ج 41ج,41.0,1446,1.00
سينوبريل كو 3 شريط,105.0,1420,1.00
توسيفان ن شراب ,34.0,1754,1.00
برونشيكم ** شراب,49.0,160,1.00
فليكس اسبراى,76.0,814,1.00
زيرتيك نقط.س.ج,27.5,900,1.00
ديباكين  نقط س * ج**,34.0,1436,1.00
ليبراكس* ق/س ج,48.0,444,1.00
اريك 100 مجم 3 شريط كبير**,100.5,26,1.00
اوبلكس شراب سعر جديد ,31.0,101,1.00
الوكيتا دى اس شامبو,199.0,3183,1.00
دانست 8مجم3امبولات ,142.5,257,1.00
اتوريز 40/10 اقراص,210.0,936,1.00
بانادول اكسترا اقراص,54.0,10,1.00
بانتولوك-40مج 14كبسوله  ,68.5,112,1.00
بانتولوك20 عدد 14 قرص س.ج ,44.0,1257,1.00
ايراستابكس تريو 10/40/25 مجم 30 قرص,123.0,206,1.00
فوميبريك10/10مجم30قرص,66.0,1092,1.00
جويبوكس 60مجم 6 قرص,106.0,353,1.00
كانزارتان 300مجم اقراص ججديييد,109.5,4887,1.00
انافرانيل 75 مجم اقراص س جديد,75.0,279,1.00
كيتولاك   اقراص/ س ج,38.0,744,1.00
فاستافلام 50مجم اقراص جديد,36.0,642,1.00
لوبريفسك قطرة,32.0,1757,1.00
توسيستوب شراب ,32.5,1720,1.00
دولوكسبرين 60 قرص,162.0,2004,1.00
كونفنتين 400 اقراص س ج,150.0,20,1.00
انتى كوكس 6امبولة س.ج,78.0,747,1.00
دولفن25لبوس2شريط,38.0,505,1.00
نيكسيكيور40مجم20قرص س ج/زيتا,152.0,242,1.00
جليبتس 850/50بلس س ج,192.0,481,1.00
بروتوفيكس 40مم اقراص ,80.0,247,1.00
نورموتيرز قطره عين ايبيكو,17.5,1017,1.00
باوريكتا استحلاب,45.0,860,1.00
كولونا اقراص س جدييد ,69.0,175,1.00
بيوتين فورت كبسول سعر جديد 48ج,78.0,2128,1.00
ديلاترول 25مجم3 شريط,52.5,1904,1.00
هاى فريش قطرة سعر جديد 43ج,75.0,277,1.00
ليبراكس اقراص  س ق,48.0,444,1.00
بيتاديرم مرهم جديد,11.5,2247,1.00
اوترفين سالين نوفارتس,13.0,762,1.00
بليتال 100مجم جدييييد,144.0,992,1.00
فاستر جيل سعر جديد,32.0,8299,1.00
تريتاس 5 مجم 14 قرص,57.0,854,1.00
ناتريليكس اس ار س ج,55.0,454,1.00
نانازوكسيد 100 مجم شراب**,39.0,918,1.00
رومانتيجرا20مجم 4قرص,37.5,1534,1.00
كوبال اف اقراص ,54.0,436,1.00
اوميز 10مجم  14كبسول**,40.0,2628,1.00
بون كير 1  كبسول ,132.0,938,1.00
نيتروماك2.5 كبسول42جنيه,96.0,333,1.00
زيرتيك شراب-سعرجديد,32.5,557,1.00
فاستر جيل سعر جديد,32.0,8299,1.00
كيتولاك اقراص جديد,38.0,744,1.00
ستروبانتين كريم س ج ركزز,50.0,4368,1.00
بران ميباكو,30.0,3598,1.00
دياميكرون 30 ام ار 30قرص,60.0,845,1.00
ميكروسيرك 16مجم /العامريه,29.0,4743,1.00
تراى بى امبول س ج2,44.0,1181,1.00
برونتوجيست 10امبول**,240.0,543,1.00
تادالونج 20 مجم جديد,84.0,491,1.00
يوريكنترول اقراص,18.0,3501,1.00
انتوبرال 20 مجم 14 كبسوله,61.0,1538,1.00
موديورتيك         اقراص,15.0,2575,1.00
داونستيرولين 10/40مجم اقراص,120.0,2453,1.00
نازوكورت بخاخ,151.0,414,1.00
جابتن 400 اقراص سعر جديد ,156.0,96,1.00
ابيكسدون شراب,60.0,2482,1.00
تريتاس 1.25مجم اقراص,44.0,1479,1.00
سيكودال2مجم 3 شريط,126.0,3711,1.00
اماريل ام 30 قرص,73.5,346,1.00
بيوفيت حقن 12ديبو 2امبوله س ج,19.0,415,1.00
ميلوكين كريم,40.5,1466,1.00
فلاجيل 500 مجم 20 قرص,23.0,229,1.00
سينوبريل كو 30قرص ,105.0,1420,1.00
ايتوماش 50مجم 30 ق**,39.0,1999,1.00
اتوريزا 10/10مجم 28قرص,166.0,377,1.00
كتافلام 50 مجم 2 شريط س ج 62ج,86.0,30,1.00
ميتاكارديا  ام ار اقراص,60.0,1574,1.00
PRAVOTIN 100 MG 14 SACHETS,150.0,71,0.99
ديبروساليك مرهم 13ج,13.0,2610,1.00
اولفن 6 امبول,39.0,1182,1.00
يوريبان شراب س ج,28.0,3381,1.00
جولد تشطيف مهبلى  كبير ,75.0,420,1.00
فلاجيل500 اقراص,23.0,229,1.00
فلكسوفان 20 ك/ العامرية,20.0,3790,1.00
فياجرا  50  مجم 4قرص سعر ج,78.0,383,1.00
بيوفيت امبول س ج,19.0,415,1.00
بكتى برو شراب ,29.5,2986,1.00
NIZAPEX 2% SHAMPOO 80 ML,68.0,565,1.00
سيليبريكس200مجم15كبسولة س ج,153.0,176,1.00
فوميبر يك10 م,66.0,1092,1.00
ترنتال اقراص س.ج,56.0,360,1.00
بليتال 100 اقراص,144.0,992,1.00
سويتال 100 قرص ,60.0,2799,1.00
تراى بى حقن س.ج,44.0,1181,1.00
ميجافين 20قرص,39.0,1941,1.00
اليفو 5 مجم 2 شريط,52.0,4213,1.00
ديباكين  شرب سعر جديد ,36.5,2121,0.96
اندرال 40 مجم  اقراص,55.0,1457,1.00
دولسيل 3 مجم 30 قرص,40.5,2793,1.00
ايمباكوزا 10مجم30قرص,240.0,1240,1.00
اماريل ام  500/ 2 مجم 58.5ج,73.5,346,1.00
فاكتو مرهم,76.0,490,1.00
فيسرالجين 20قرص س جديد,42.0,622,1.00
موبيتيل 15 مجم اقراص ,23.5,1323,1.00
اكستنشن300مجم بلاس28ق,108.0,1494,1.00
شاى رويال ريجيم صغير,25.0,2097,1.00
تارجو750مجم2شريط,188.0,821,1.00
دانست8مم 3امبول جيييييييييييييد,142.5,257,1.00
املوديبين 10 مجم اقراص,32.0,4244,1.00
افازير قطرة عين** ,20.0,4700,1.00
بيوفيت 12امبول جديد 3/25,19.0,415,1.00
شوجارلو بلس 50 / 1000مجم اقراص جديد,136.5,1469,1.00
روتاسى60 اقراص,19.0,1540,1.00
الكابرس 10مجم اقراص ,78.0,977,1.00
دانتريلاكس كومباوند/س ج,153.0,924,1.00
ميكروسيرك 16مجم 20قرص,29.0,4743,1.00
كارنيفيتا ادفانس سيدات جديد,350.0,5215,1.00
كاردورا 1 مجم اقراص (سعر جديد,58.5,2529,1.00
بريمونيدين قطره / س ج,44.5,1822,1.00
رجكور 10 مجم اقراص,16.0,3475,1.00
ابيكسيدون 1مجم,54.0,2226,1.00
ريفارست 250مل دش مهبلى,75.0,1414,1.00
دورميفال ك/ميباكو,30.0,3329,1.00
بانتولوك 40 مجم 14قرص س * ج,68.5,112,1.00
براديبيكت 7.5جم اقراص س.ج,176.0,2414,1.00
كولوماك مس ,18.0,2132,1.00
CIPROFLOXACIN 750 MG 10 TAB,89.0,422,0.97
رومارين 75مجم 3 امبول س.ج,27.0,2080,1.00
تريفستال ريتارد س ج 3 شرائط,47.5,2321,1.00
ستارفيل غسول وجه جل 200 مل,125.0,9532,1.00
ميوكوستا اقراص جديد,79.0,320,1.00
سيبروفلوكساسين 750مجم اورجانو,89.0,1724,1.00
كوليروز20مجم قرص 79.5س ج,132.0,614,1.00
بيتولفكس   2 امبوله,64.0,117,1.00
موديوريتيك 30قرص,15.0,2575,1.00
موبيتيل 15مجم اقراص جديد,23.5,1323,1.00
فليكسوفان 2شريط/العامريه,20.0,3790,1.00
امبيزيم 3 شريط سعر 102,102.0,48,1.00
ماء غريب بامبينو,75.0,2279,1.00
نورجيسيك اقراص,26.0,1028,1.00
اوتريفين بيبى سالين نقط س جديد,13.0,762,1.00
كتافلام 50 مجم 2 شريط جديد,86.0,30,1.00
تراى  بى  امبول س ج,44.0,1181,1.00
ديكساتوبرين قطرة ابيكو,26.0,869,1.00
استوهالت 40مجم اقراص,56.5,1322,1.00
تافانيك 500 اقراص,134.0,73,1.00
بليجيكا قطره س ج 2,27.0,487,1.00
كارنفيتا للسيدات سعر جديد,350.0,5215,1.00
اوندالينزا4مج استحلاب,160.0,1051,1.00
اديمكس اقراص,18.0,3683,1.00
سولو كينزوك 200 مجم اقراص,103.0,2570,0.99
دياسيرين50مج 30ك س ج/ايفا,115.5,417,1.00
نوفوستريك 10مجم اقراص,38.0,2620,1.00
بليتال 100 - 20ق,144.0,992,1.00
اميولانت شراب/ س ج,30.0,2542,1.00
بلافيكس اقراص,311.0,5,1.00
كوافازير قطرة اوركيديا,29.0,1738,1.00
جينوزول كريم س.ج,38.0,1334,1.00
اماريل ام اقراص,73.5,346,1.00
ماريفان 3مجم 100ق  ,36.0,2375,1.00
تريب جولد3 شريط,120.0,1278,1.00
رومانتجرا اقراص,37.5,1534,1.00
بريمبران/12امبولة ,60.0,1073,1.00
كوليروز 5 مجم 14 قرص,58.0,1979,1.00
بلوكاتينس160/10,160.0,1328,1.00
شاى رويال ريجيم صغير,25.0,2097,1.00
دوجماتيل فورت اقراص,26.0,2441,1.00
بروتوفكس 40 سعر جديد,80.0,247,1.00
هيموجيت شراب 37.5 جنيه,37.5,1854,1.00
MOBITIL 15 MG/1.5 ML 3 AMP.,39.0,Unknown,0.38
ديابيتونورم 45مج 15قرص,38.0,1837,1.00
اكس تنشن 150 مجم/28 قرص س ق,72.0,2296,1.00
اميلو5 مج 3 شريط اقراص,54.0,3544,1.00
بريمونيدين قطره    44.50ج,44.5,1822,1.00
الليربان شراب (هام) س ج0,21.0,2429,1.00
اكستنشن 300بلاس  اقراص,108.0,1494,1.00
فورموهال ق   3شريط جديد,151.0,1746,1.00
سيمباتيكس 30 مجم 30كبسولة,228.0,268,1.00
اكستنشن 300مج 28قرص ,102.0,2341,1.00
تلفاست 180جم 2شريط س ج,105.0,193,1.00
ميزوسيبت 1 امبول س ج,23.5,771,1.00
تافاسين 750 سعر جديد,96.0,422,1.00
هيدروفيرين نقط س.ج,44.0,1522,1.00
نانازوكسيد   اقراص*/,114.0,456,1.00
باى كيتوجيسك اقراص 39ج,81.0,243,1.00
افيميو نقط اوركيديا,44.0,1631,1.00
ليفوهستام اقراص,117.0,1072,1.00
دانست 8 مجم 3 امبول,142.5,257,1.00
كتافلام 50 مجم 2 شريط 86 ج,86.0,30,1.00
فاستفلام اقراص 16 ج***,36.0,642,1.00
نيكسكيور 40مجم ,152.0,242,1.00
نورفاسك 5 مجم3 شريط دولاب/ س ج,123.0,500,1.00
ادويفلام -6امبول,72.0,1675,1.00
اندرال 10مجم5شريط,40.0,1036,1.00
باوريكتا 20 مجم 4 قرص جديد,58.0,330,1.00
افوصويا 2شريط*** ,350.0,1594,1.00
الكابرس10مجم 30قرص الكان س ج,78.0,977,1.00
اكتينون 2 مجم اقراص,34.5,550,1.00
روسيتور10مجاقراص*8,41.0,1446,1.00
ريموواكس نقط سعر جديد,24.0,2506,1.00
مايوديورا 10مجم 30قرص س ج,69.0,4623,1.00
كيتولاك اقراص سعر جديد,38.0,744,1.00
التراكايين جيل س ج,31.0,1434,1.00
تلفاست 180 مجم 20 قرص**,105.0,193,1.00
دانست امبول 8مجم,142.5,257,1.00
هيستازين شراب/س ج,23.0,2209,1.00
زنكوديرم 120 مل لوسيون,55.0,3701,1.00
فليكس سبراى للانف,76.0,814,1.00
روتاسى 60مج 20ق/القاهرة,19.0,1540,1.00
سوفيناسين 5مجم 30 قرص,141.0,993,1.00
كو ديلاترول 30 قرص,52.5,4158,1.00
اوتريفين نقط كبار 15 مل,16.0,164,1.00
برونتوجيست 10امبولة,240.0,543,1.00
فاستل 120 مجم 20 قرص,42.0,4384,1.00
سبازمودايجستين 30 قرص سعرجديد37.5ج,78.0,106,1.00
فيرسيرك 16مجم 30قرص ,87.0,1383,1.00
ديلاترول 6.25 - 30ق,31.5,2856,1.00
سبكتون100مجم اقراص2 شريط ,41.0,1206,1.00
كلاريتين شــراب,40.0,1476,1.00
افيل 6 امبول 39 جنيه ,39.0,338,1.00
فوميبريك 30قرص,66.0,1092,1.00
كانزارتان 300مجم 3شرائط,109.5,4887,1.00
ابل لايت 30قرص *,21.0,3797,1.00
انتى كوكس 6 امبول * س جديد,78.0,747,1.00
ماريفان       3 مجم اقراص,36.0,2375,1.00
اريكتاليس 20مجم 2قرص,50.0,1579,1.00
اتاكاند 8 مجم اقراص,83.0,874,1.00
تافاسين 750 مجم 5ق-س.ج,96.0,422,1.00
دانتريلاكس 25مجم 30كبسول,147.0,1067,1.00
فاستل 120 اقراص,42.0,4384,1.00
نيفيلوب 5/25بلس,92.0,1357,1.00
اماريل 1مم ق,26.5,1573,1.00
هيموجيت 100 مل شراب,37.5,1854,1.00
اريثروفاست 150مم اقراص ,83.0,359,1.00
فاكتو مرهم30مجم,76.0,490,1.00
اميبريد50مجم اقراص ,81.0,533,1.00
اكسامايد 5 مجم 30 ق,48.0,1448,1.00
سى فيت نقط,19.5,4881,1.00
ديبافالي 50مجم اقراص,116.0,3198,1.00
كولونا س/ج69,69.0,175,1.00
اميولانت   كبسول ,30.0,3021,1.00
ديكلاك 150 2 شريط,132.0,1324,1.00
فوربيدوس 400 مجم 60 كبسول,334.0,370,1.00
كالوماك محلول,18.0,2132,1.00
نافوبروكسين لبوس,10.0,5159,1.00
اكتينون اقراص س.ج@,34.5,550,1.00
فيبراميسين 100 مجم كبسول س 42.5,42.5,479,1.00
اندرال 40 مجم  اقراص,55.0,1457,1.00
تيبونينا فورت 40 مجم 20 قرص,90.0,733,1.00
فليكس سبراى س ج,76.0,814,1.00
بينوكس نقط15ج ,23.0,2082,1.00
فلكسوفان كبسول/ جديد,20.0,3790,1.00
تاريفيد  اقراص/ س ج,82.0,1225,1.00
زيثرون  5 اقراص,86.0,53,1.00
اتوريزا 10 /40 مجم اقراص,210.0,936,1.00
موبيتيل امبول,39.0,1484,1.00
سيردالود 2مجم 20قرص,54.0,1296,1.00
باكتيكلور 125 شراب,73.0,3343,1.00
بانادول اكسترا 24قرص جديد,54.0,10,1.00
اميولانت العادى ك جديد,30.0,3021,1.00
فاستيل120اقراص2شريط42ج,42.0,4384,1.00
اميولانت كبسول س0ج,30.0,3021,1.00
ابيكسيدون 3مجم اقراص س ج,126.0,Unknown,0.54
بلنديل10مجم/اقراص,112.5,2953,1.00
افيميو قطرة س ج,44.0,1631,1.00
الليربان اقراص,24.0,2106,1.00
لازيلاكتون100مج اقراص س.ج,100.5,1626,1.00
تراى بى امبول,44.0,1181,1.00
اكستنشن150 بلس 28قرص كبير**,76.0,1817,1.00
ايفيبرونت شراب@ ب35ج ركزز,45.0,965,1.00
تاريفيد200مجم/10قرص ,82.0,1225,1.00
ترنتال 400 اس ار 20 قرص,56.0,360,1.00
فلاجيل 500مجم 20/قرص,23.0,229,1.00
تورسيرتيك 20 مجم 30قرص,123.0,990,1.00
ديبوفيت سعر جديد,85.0,22,1.00
رومارين امبول سعر جديد,27.0,2080,1.00
انتوبرال40مجم14قرص,87.0,222,1.00
كيرلا مرهم صغير,16.0,3957,1.00
ازموراب40مجم اقراص,138.0,143,1.00
اليكاسال مرهم كبير30جرام,34.5,2473,1.00
بانتولوك 40 مجم 14 قرص س ج,68.5,112,1.00
استوهالت40مجم   كبسول,56.5,1322,1.00
الوكيتا شامبو   دى اس140جنيه,199.0,3183,1.00
ديكساميثازون امبول/العامريه قديم,36.0,58,1.00
اوميز 40 مم ق ,130.0,144,1.00
تافاسين 750 مجم 5قرص س ج,96.0,422,1.00
ريكوكسيبرايت 60 مجم 20 قرص,188.0,788,1.00
اميجران اقراص ادكو ,63.0,624,1.00
التيازيم اقراص ,46.0,2006,1.00
سيلدافا 3 شريط,91.5,179,1.00
ديباكين  شراب,36.5,2121,1.00
اتوريزا 10 / 40 مجم 21 قرص,210.0,936,1.00
الليربان اس ار اقراص/ابيكس,24.0,2106,1.00
ابيمول 300مجم 5لبوس,15.0,2359,1.00
براديبيكت 7.5 اقراص,176.0,2414,1.00
نيزابكس شامبو,68.0,565,1.00
داونوبرازول 40 م اقراص /جديد,95.0,273,1.00
ابيكسيدون شراب,60.0,2482,1.00
دانتريلاكس مركب 30كبسولة س/جديد,153.0,924,1.00
ايفكسور 75 اكس ار كبسول,122.0,1329,1.00
هاى فريش قطرة/سعر جديد,75.0,277,1.00
فيروترون30 قرص كبير,99.0,147,1.00
تلفاست 180مجم اقراص,105.0,193,1.00
ثرومبكس جيل 40 جم,52.5,998,1.00
نيفيلوب 2.5 مجم اقراص,46.0,927,1.00
اتورستات 10 مجم اقراص,40.0,3689,1.00
بريمونيدين 5مل قطرة,44.5,1822,1.00
تامسولين بلس 20 قرص,148.0,1031,1.00
ليفانيك 500مجم 7قرص63جنيه,63.0,1707,1.00
سويتال 75 كيس,85.0,1844,1.00
الوكيتا دى اس سعر جديد,199.0,3183,1.00
دولوكسيبرين 60مجم 28 ق,162.0,2004,1.00
اتورستات 10,40.0,3689,1.00
تريفستال ريتارد 50 مجم 3 شريط,47.5,2321,1.00
لوسترال 2شريط,101.0,483,1.00
ريكوكس برايد90مجم,297.0,132,1.00
